Epoch,Train_Loss,Test_Accuracy
1,1.0638908129697875,77.14
2,0.7238181941187389,78.82
3,0.6755965920743161,78.62
4,0.6479314870641388,80.25
5,0.6331616740290049,79.69
6,0.622934818277356,80.77
7,0.6116697981009785,80.58
8,0.6020268533123814,80.75
9,0.5938155890388208,81.17
10,0.5859174748890993,81.3
11,0.5777064352483987,81.42
12,0.5773622955428586,80.87
13,0.5704036322508724,82.05
14,0.5676605547286727,81.41
15,0.5596953156050855,81.98
16,0.5527375405958198,82.28
17,0.5462828124000412,81.41
18,0.5410141246732961,82.41
19,0.5413518219623745,82.19
20,0.5391924640095852,82.09
21,0.5306657393125106,82.61
22,0.5271238181465951,82.34
23,0.524531681116811,82.6
24,0.5164552169279342,82.35
